CustomerID,CustomerName,Email,City,State,SignupDate
CUST1000,Customer_0,customer0@gmail.com,Pune,Telangana,2024-10-16
CUST1001,Customer_1,customer1@gmail.com,Hyderabad,Karnataka,2023-04-25
CUST1002,Customer_2,customer2@gmail.com,Bangalore,Maharashtra,2023-01-26
CUST1003,Customer_3,customer3@gmail.com,Hyderabad,Telangana,2023-10-09
CUST1004,Customer_4,customer4@gmail.com,Hyderabad,Telangana,2023-09-08
CUST1005,Customer_5,customer5@gmail.com,Delhi,Delhi,2023-08-17
CUST1006,Customer_6,customer6@gmail.com,Bangalore,Maharashtra,2023-05-23
CUST1007,Customer_7,customer7@gmail.com,Bangalore,Telangana,2023-04-15
CUST1008,Customer_8,customer8@gmail.com,Bangalore,Karnataka,2024-11-23
CUST1009,Customer_9,customer9@gmail.com,Hyderabad,Karnataka,2024-07-12
CUST1010,Customer_10,customer10@gmail.com,Pune,Delhi,2023-03-31
CUST1011,Customer_11,customer11@gmail.com,Bangalore,Telangana,2024-08-27
CUST1012,Customer_12,customer12@gmail.com,Hyderabad,Maharashtra,2024-03-08
CUST1013,Customer_13,customer13@gmail.com,Delhi,Karnataka,2023-02-02
CUST1014,Customer_14,customer14@gmail.com,Pune,Telangana,2023-01-31
CUST1015,Customer_15,customer15@gmail.com,Delhi,Telangana,2023-04-06
CUST1016,Customer_16,customer16@gmail.com,Pune,Delhi,2023-08-12
CUST1017,Customer_17,customer17@gmail.com,Hyderabad,Karnataka,2023-08-27
CUST1018,Customer_18,customer18@gmail.com,Mumbai,Karnataka,2024-06-01
CUST1019,Customer_19,customer19@gmail.com,Pune,Maharashtra,2024-09-08
CUST1020,Customer_20,customer20@gmail.com,Delhi,Karnataka,2023-01-28
CUST1021,Customer_21,customer21@gmail.com,Hyderabad,Maharashtra,2024-07-28
CUST1022,Customer_22,customer22@gmail.com,Pune,Karnataka,2023-07-23
CUST1023,Customer_23,customer23@gmail.com,Mumbai,Delhi,2024-10-27
CUST1024,Customer_24,customer24@gmail.com,Mumbai,Karnataka,2024-07-12
CUST1025,Customer_25,customer25@gmail.com,Bangalore,Maharashtra,2024-03-05
CUST1026,Customer_26,customer26@gmail.com,Bangalore,Maharashtra,2023-08-14
CUST1027,Customer_27,customer27@gmail.com,Delhi,Delhi,2024-04-04
CUST1028,Customer_28,customer28@gmail.com,Pune,Karnataka,2024-08-26
CUST1029,Customer_29,customer29@gmail.com,Pune,Karnataka,2023-10-12
CUST1030,Customer_30,customer30@gmail.com,Bangalore,Delhi,2023-01-07
CUST1031,Customer_31,customer31@gmail.com,Pune,Karnataka,2023-06-13
CUST1032,Customer_32,customer32@gmail.com,Pune,Karnataka,2024-03-08
CUST1033,Customer_33,customer33@gmail.com,Mumbai,Maharashtra,2023-12-15
CUST1034,Customer_34,customer34@gmail.com,Bangalore,Karnataka,2023-10-12
CUST1035,Customer_35,customer35@gmail.com,Hyderabad,Karnataka,2023-06-09
CUST1036,Customer_36,customer36@gmail.com,Bangalore,Delhi,2023-08-09
CUST1037,Customer_37,customer37@gmail.com,Hyderabad,Delhi,2023-12-11
CUST1038,Customer_38,customer38@gmail.com,Mumbai,Telangana,2023-04-15
CUST1039,Customer_39,customer39@gmail.com,Delhi,Maharashtra,2023-04-05
CUST1040,Customer_40,customer40@gmail.com,Pune,Karnataka,2024-01-25
CUST1041,Customer_41,customer41@gmail.com,Mumbai,Karnataka,2023-04-10
CUST1042,Customer_42,customer42@gmail.com,Pune,Telangana,2024-01-03
CUST1043,Customer_43,customer43@gmail.com,Delhi,Karnataka,2023-12-19
CUST1044,Customer_44,customer44@gmail.com,Delhi,Maharashtra,2024-09-10
CUST1045,Customer_45,customer45@gmail.com,Mumbai,Telangana,2023-09-28
CUST1046,Customer_46,customer46@gmail.com,Delhi,Maharashtra,2023-02-14
CUST1047,Customer_47,customer47@gmail.com,Hyderabad,Telangana,2024-04-15
CUST1048,Customer_48,customer48@gmail.com,Delhi,Telangana,2024-07-03
CUST1049,Customer_49,customer49@gmail.com,Pune,Delhi,2023-05-08
CUST1050,Customer_50,customer50@gmail.com,Pune,Maharashtra,2024-01-23
CUST1051,Customer_51,customer51@gmail.com,Pune,Karnataka,2023-03-22
CUST1052,Customer_52,customer52@gmail.com,Pune,Karnataka,2024-07-19
CUST1053,Customer_53,customer53@gmail.com,Hyderabad,Maharashtra,2023-10-28
CUST1054,Customer_54,customer54@gmail.com,Bangalore,Karnataka,2024-10-05
CUST1055,Customer_55,customer55@gmail.com,Mumbai,Karnataka,2024-09-25
CUST1056,Customer_56,customer56@gmail.com,Pune,Maharashtra,2024-01-06
CUST1057,Customer_57,customer57@gmail.com,Delhi,Telangana,2024-08-14
CUST1058,Customer_58,customer58@gmail.com,Pune,Maharashtra,2023-07-16
CUST1059,Customer_59,customer59@gmail.com,Delhi,Telangana,2023-03-13
CUST1060,Customer_60,customer60@gmail.com,Delhi,Karnataka,2023-02-16
CUST1061,Customer_61,customer61@gmail.com,Pune,Karnataka,2024-11-08
CUST1062,Customer_62,customer62@gmail.com,Hyderabad,Karnataka,2023-08-22
CUST1063,Customer_63,customer63@gmail.com,Delhi,Delhi,2023-10-24
CUST1064,Customer_64,customer64@gmail.com,Delhi,Telangana,2023-03-23
CUST1065,Customer_65,customer65@gmail.com,Pune,Delhi,2023-08-27
CUST1066,Customer_66,customer66@gmail.com,Delhi,Delhi,2023-04-14
CUST1067,Customer_67,customer67@gmail.com,Delhi,Maharashtra,2024-01-25
CUST1068,Customer_68,customer68@gmail.com,Pune,Delhi,2023-10-12
CUST1069,Customer_69,customer69@gmail.com,Pune,Maharashtra,2024-04-09
CUST1070,Customer_70,customer70@gmail.com,Mumbai,Maharashtra,2024-10-12
CUST1071,Customer_71,customer71@gmail.com,Hyderabad,Delhi,2024-01-09
CUST1072,Customer_72,customer72@gmail.com,Hyderabad,Telangana,2023-06-16
CUST1073,Customer_73,customer73@gmail.com,Delhi,Telangana,2024-01-15
CUST1074,Customer_74,customer74@gmail.com,Hyderabad,Telangana,2023-12-30
CUST1075,Customer_75,customer75@gmail.com,Delhi,Telangana,2023-08-03
CUST1076,Customer_76,customer76@gmail.com,Mumbai,Telangana,2024-11-17
CUST1077,Customer_77,customer77@gmail.com,Pune,Delhi,2023-10-01
CUST1078,Customer_78,customer78@gmail.com,Pune,Delhi,2024-11-30
CUST1079,Customer_79,customer79@gmail.com,Pune,Karnataka,2024-10-25
CUST1080,Customer_80,customer80@gmail.com,Hyderabad,Telangana,2023-03-15
CUST1081,Customer_81,customer81@gmail.com,Mumbai,Delhi,2024-09-15
CUST1082,Customer_82,customer82@gmail.com,Hyderabad,Karnataka,2024-10-12
CUST1083,Customer_83,customer83@gmail.com,Hyderabad,Telangana,2023-06-25
CUST1084,Customer_84,customer84@gmail.com,Mumbai,Maharashtra,2024-06-30
CUST1085,Customer_85,customer85@gmail.com,Mumbai,Karnataka,2023-09-08
CUST1086,Customer_86,customer86@gmail.com,Mumbai,Delhi,2023-06-17
CUST1087,Customer_87,customer87@gmail.com,Mumbai,Maharashtra,2024-04-18
CUST1088,Customer_88,customer88@gmail.com,Pune,Maharashtra,2024-01-24
CUST1089,Customer_89,customer89@gmail.com,Bangalore,Maharashtra,2023-10-04
CUST1090,Customer_90,customer90@gmail.com,Bangalore,Karnataka,2024-10-17
CUST1091,Customer_91,customer91@gmail.com,Mumbai,Delhi,2024-07-24
CUST1092,Customer_92,customer92@gmail.com,Bangalore,Maharashtra,2023-08-13
CUST1093,Customer_93,customer93@gmail.com,Bangalore,Telangana,2023-11-29
CUST1094,Customer_94,customer94@gmail.com,Mumbai,Maharashtra,2023-02-27
CUST1095,Customer_95,customer95@gmail.com,Bangalore,Maharashtra,2023-08-23
CUST1096,Customer_96,customer96@gmail.com,Hyderabad,Karnataka,2023-02-02
CUST1097,Customer_97,customer97@gmail.com,Delhi,Karnataka,2023-11-20
CUST1098,Customer_98,customer98@gmail.com,Delhi,Delhi,2024-02-15
CUST1099,Customer_99,customer99@gmail.com,Mumbai,Telangana,2023-10-02
